Designator	Footprint	Mid X	Mid Y	Ref X	Ref Y	Pad X	Pad Y	Layer	Rotation	Comment
"C1"	"C0603"	"78.74mm"	"43.31mm"	"78.74mm"	"43.31mm"	"79.44mm"	"43.31mm"	"T"	"180"	"10uF"
"C2"	"C0603"	"14.1mm"	"47.5mm"	"14.1mm"	"47.5mm"	"14.1mm"	"48.2mm"	"T"	"270"	"10uF"
"C3"	"C0603"	"34.93mm"	"47.5mm"	"34.93mm"	"47.5mm"	"34.93mm"	"48.2mm"	"T"	"270"	"10uF"
"C4"	"C0603"	"55.5mm"	"47.24mm"	"55.5mm"	"47.24mm"	"55.5mm"	"47.94mm"	"T"	"270"	"10uF"
"C5"	"C0603"	"76.2mm"	"47.63mm"	"76.2mm"	"47.63mm"	"76.2mm"	"48.33mm"	"T"	"270"	"10uF"
"C6"	"C0603"	"70.49mm"	"44.07mm"	"70.49mm"	"44.07mm"	"70.49mm"	"44.77mm"	"T"	"270"	"10uF"
"C7"	"C0603"	"72.9mm"	"44.07mm"	"72.9mm"	"44.07mm"	"72.9mm"	"44.77mm"	"T"	"270"	"10uF"
"D1"	"SOD-323_L1.8-W1.3-LS2.5-RD"	"78.74mm"	"45.09mm"	"78.74mm"	"45.09mm"	"77.57mm"	"45.09mm"	"T"	"0"	"NSR0320MW2T1G"
"F1"	"F1206"	"5.21mm"	"47.5mm"	"5.21mm"	"47.5mm"	"5.21mm"	"48.94mm"	"T"	"270"	"SMD1206P050TF"
"F2"	"F1206"	"26.04mm"	"47.5mm"	"26.04mm"	"47.5mm"	"26.04mm"	"48.94mm"	"T"	"270"	"SMD1206P050TF"
"F3"	"F1206"	"46.61mm"	"47.5mm"	"46.61mm"	"47.5mm"	"46.61mm"	"48.94mm"	"T"	"270"	"SMD1206P050TF"
"F4"	"F1206"	"67.06mm"	"47.37mm"	"67.06mm"	"47.37mm"	"67.06mm"	"48.82mm"	"T"	"270"	"SMD1206P050TF"
"L1"	"LED0603-R-RD"	"9.91mm"	"46.36mm"	"9.91mm"	"46.36mm"	"10.66mm"	"46.36mm"	"T"	"0"	"19-21/BHC-AN1P2/4T"
"L2"	"LED0603-R-RD"	"30.73mm"	"46.61mm"	"30.73mm"	"46.61mm"	"31.49mm"	"46.61mm"	"T"	"0"	"19-21/BHC-AN1P2/4T"
"L3"	"LED0603-R-RD"	"51.05mm"	"46.36mm"	"51.05mm"	"46.36mm"	"51.81mm"	"46.36mm"	"T"	"0"	"19-21/BHC-AN1P2/4T"
"L4"	"LED0603-R-RD"	"71.76mm"	"46.48mm"	"71.76mm"	"46.48mm"	"72.51mm"	"46.48mm"	"T"	"0"	"19-21/BHC-AN1P2/4T"
"R1"	"R0805"	"9.91mm"	"48.39mm"	"9.91mm"	"48.39mm"	"10.91mm"	"48.39mm"	"T"	"180"	"1kΩ"
"R2"	"R0805"	"30.73mm"	"48.64mm"	"30.73mm"	"48.64mm"	"31.73mm"	"48.64mm"	"T"	"180"	"1kΩ"
"R3"	"R0805"	"51.05mm"	"48.26mm"	"51.05mm"	"48.26mm"	"52.05mm"	"48.26mm"	"T"	"180"	"1kΩ"
"R4"	"R0805"	"71.76mm"	"48.51mm"	"71.76mm"	"48.51mm"	"72.76mm"	"48.51mm"	"T"	"180"	"1kΩ"
"U1"	"SOP-16_L10.0-W3.9-P1.27-LS6.0-BL"	"73.66mm"	"37.21mm"	"73.66mm"	"37.21mm"	"69.22mm"	"34.34mm"	"T"	"0"	"SL2.1A"
"USB1"	"USB-A-TH_U-G-04WD-W-01"	"83.19mm"	"41.91mm"	"83.19mm"	"41.91mm"	"82.19mm"	"45.41mm"	"T"	"90"	"U-G-04DD-W-01"
"USB2"	"USB-A-TH_C46407"	"71.76mm"	"53.34mm"	"71.76mm"	"53.34mm"	"75.26mm"	"51.99mm"	"T"	"180"	"USB-AF-90-14.4X13.6-H7.0-DIP"
"USB3"	"USB-A-TH_C46407"	"50.93mm"	"53.47mm"	"50.93mm"	"53.47mm"	"54.43mm"	"52.11mm"	"T"	"180"	"USB-AF-90-14.4X13.6-H7.0-DIP"
"USB4"	"USB-A-TH_C46407"	"30.48mm"	"53.47mm"	"30.48mm"	"53.47mm"	"33.98mm"	"52.11mm"	"T"	"180"	"USB-AF-90-14.4X13.6-H7.0-DIP"
"USB5"	"USB-A-TH_C46407"	"9.65mm"	"53.47mm"	"9.65mm"	"53.47mm"	"13.15mm"	"52.11mm"	"T"	"180"	"USB-AF-90-14.4X13.6-H7.0-DIP"
